,species,factor,times,ends,changes,circuit
0,H,-0.5,179.1791791791792,3.1710154831268293,2.4709670407388943e-07,RQS_layered
1,H,-0.3888888888888889,174.1741741741742,3.1710154696192343,2.42836996591526e-07,RQS_layered
2,H,-0.2777777777777778,166.1661661661662,3.1710154103953885,2.241603736684871e-07,RQS_layered
3,H,-0.16666666666666669,100.10010010010011,3.171015445004975,2.3507473061314407e-07,RQS_layered
4,H,-0.05555555555555558,25.025025025025027,3.1710151624030094,1.4595437257064926e-07,RQS_layered
5,H,0.05555555555555558,26.026026026026027,3.171015840755895,3.5987734350775365e-07,RQS_layered
6,H,0.16666666666666663,102.10210210210211,3.171015590133276,2.808418793418196e-07,RQS_layered
7,H,0.2777777777777777,164.1641641641642,3.171015668860621,3.0566905679194756e-07,RQS_layered
8,H,0.38888888888888884,175.17517517517518,3.1710157702709267,3.376494528285594e-07,RQS_layered
9,H,0.5,181.1811811811812,3.171015849105109,3.625103222227367e-07,RQS_layered
