,kR,plat,vmax
0,0.01,100.0,0.01
1,0.027825594022071243,100.0,0.01
2,0.0774263682681127,100.0,0.01
3,0.21544346900318834,100.0,0.01
4,0.5994842503189409,100.0,0.01
5,1.6681005372000592,100.0,0.01
6,4.6415888336127775,100.0,0.01
7,12.915496650148826,100.0,0.01
8,35.93813663804626,100.0,0.01
9,100.0,100.0,0.01
0,0.01,100.0,0.027825594022071243
1,0.027825594022071243,100.0,0.027825594022071243
2,0.0774263682681127,100.0,0.027825594022071243
3,0.21544346900318834,100.0,0.027825594022071243
4,0.5994842503189409,100.0,0.027825594022071243
5,1.6681005372000592,100.0,0.027825594022071243
6,4.6415888336127775,100.0,0.027825594022071243
7,12.915496650148826,100.0,0.027825594022071243
8,35.93813663804626,100.0,0.027825594022071243
9,100.0,100.0,0.027825594022071243
0,0.01,100.0,0.0774263682681127
1,0.027825594022071243,100.0,0.0774263682681127
2,0.0774263682681127,100.0,0.0774263682681127
3,0.21544346900318834,100.0,0.0774263682681127
4,0.5994842503189409,100.0,0.0774263682681127
5,1.6681005372000592,100.0,0.0774263682681127
6,4.6415888336127775,100.0,0.0774263682681127
7,12.915496650148826,100.0,0.0774263682681127
8,35.93813663804626,100.0,0.0774263682681127
9,100.0,100.0,0.0774263682681127
0,0.01,100.0,0.21544346900318834
1,0.027825594022071243,100.0,0.21544346900318834
2,0.0774263682681127,100.0,0.21544346900318834
3,0.21544346900318834,100.0,0.21544346900318834
4,0.5994842503189409,100.0,0.21544346900318834
5,1.6681005372000592,100.0,0.21544346900318834
6,4.6415888336127775,100.0,0.21544346900318834
7,12.915496650148826,100.0,0.21544346900318834
8,35.93813663804626,100.0,0.21544346900318834
9,100.0,100.0,0.21544346900318834
0,0.01,100.0,0.5994842503189409
1,0.027825594022071243,100.0,0.5994842503189409
2,0.0774263682681127,100.0,0.5994842503189409
3,0.21544346900318834,100.0,0.5994842503189409
4,0.5994842503189409,100.0,0.5994842503189409
5,1.6681005372000592,100.0,0.5994842503189409
6,4.6415888336127775,100.0,0.5994842503189409
7,12.915496650148826,100.0,0.5994842503189409
8,35.93813663804626,100.0,0.5994842503189409
9,100.0,100.0,0.5994842503189409
0,0.01,100.0,1.6681005372000592
1,0.027825594022071243,100.0,1.6681005372000592
2,0.0774263682681127,100.0,1.6681005372000592
3,0.21544346900318834,100.0,1.6681005372000592
4,0.5994842503189409,100.0,1.6681005372000592
5,1.6681005372000592,100.0,1.6681005372000592
6,4.6415888336127775,100.0,1.6681005372000592
7,12.915496650148826,100.0,1.6681005372000592
8,35.93813663804626,100.0,1.6681005372000592
9,100.0,100.0,1.6681005372000592
0,0.01,100.0,4.6415888336127775
1,0.027825594022071243,100.0,4.6415888336127775
2,0.0774263682681127,100.0,4.6415888336127775
3,0.21544346900318834,100.0,4.6415888336127775
4,0.5994842503189409,100.0,4.6415888336127775
5,1.6681005372000592,100.0,4.6415888336127775
6,4.6415888336127775,100.0,4.6415888336127775
7,12.915496650148826,100.0,4.6415888336127775
8,35.93813663804626,100.0,4.6415888336127775
9,100.0,100.0,4.6415888336127775
0,0.01,100.0,12.915496650148826
1,0.027825594022071243,100.0,12.915496650148826
2,0.0774263682681127,100.0,12.915496650148826
3,0.21544346900318834,100.0,12.915496650148826
4,0.5994842503189409,100.0,12.915496650148826
5,1.6681005372000592,100.0,12.915496650148826
6,4.6415888336127775,100.0,12.915496650148826
7,12.915496650148826,100.0,12.915496650148826
8,35.93813663804626,100.0,12.915496650148826
9,100.0,100.0,12.915496650148826
0,0.01,100.0,35.93813663804626
1,0.027825594022071243,100.0,35.93813663804626
2,0.0774263682681127,100.0,35.93813663804626
3,0.21544346900318834,100.0,35.93813663804626
4,0.5994842503189409,100.0,35.93813663804626
5,1.6681005372000592,100.0,35.93813663804626
6,4.6415888336127775,100.0,35.93813663804626
7,12.915496650148826,100.0,35.93813663804626
8,35.93813663804626,100.0,35.93813663804626
9,100.0,100.0,35.93813663804626
0,0.01,100.0,100.0
1,0.027825594022071243,100.0,100.0
2,0.0774263682681127,100.0,100.0
3,0.21544346900318834,100.0,100.0
4,0.5994842503189409,100.0,100.0
5,1.6681005372000592,100.0,100.0
6,4.6415888336127775,100.0,100.0
7,12.915496650148826,100.0,100.0
8,35.93813663804626,100.0,100.0
9,100.0,100.0,100.0
